"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Sri Vijayanagar,288.4,Tonnes,NR,American,5265,5550,5407,Rs/Quintal
,,,NR,Desi,5657,5794,5725,Rs/Quintal
Sriganganagar,278.9,Tonnes,NR,American,4800,5495,5455,Rs/Quintal
,,,NR,Desi,5522,5601,5601,Rs/Quintal
Sumerpur,49.2,Tonnes,NR,American,4855,5700,5557,Rs/Quintal
Suratgarh,929,Tonnes,NR,American,5060,5468,5415,Rs/Quintal
,,,NR,Desi,5655,5955,5813,Rs/Quintal
Tamil Nadu,,,,,,,,
Papparapatti,NR,Tonnes,NR,Other,5200,5800,5500,Rs/Quintal
Thirumangalam,NR,Tonnes,NR,MCU 5,4000,4100,4050,Rs/Quintal
,,,NR,Other,3750,3800,3770,Rs/Quintal
Uthangarai,NR,Tonnes,NR,Other,5200,6000,5500,Rs/Quintal
Vedachandur,1,Tonnes,NR,Other,4150,4350,4250,Rs/Quintal
Telangana,,,,,,,,
Bhadrachalam,51,Tonnes,NR,Cotton (Unginned),5150,5450,5300,Rs/Quintal
Burgampadu,48.8,Tonnes,NR,Cotton (Unginned),5200,5450,5350,Rs/Quintal
Enkoor,150,Tonnes,NR,Cotton (Unginned),5200,5450,5300,Rs/Quintal
Husnabad,5,Tonnes,NR,Cotton (Unginned),5450,5450,5450,Rs/Quintal
Huzzurabad,1,Tonnes,NR,Cotton (Unginned),5350,5450,5400,Rs/Quintal
Uttar Pradesh,,,,,,,,
Kosikalan,4,Tonnes,NR,RCH-2,4900,5100,5000,Rs/Quintal
Jute,,,,,,,,
Assam,,,,,,,,
Dhekiajuli,8.5,Tonnes,NR,TD-5,3600,3900,3900,Rs/Quintal
West Bengal,,,,,,,,
Baxirhat,46,Tonnes,NR,TD-5,4400,4600,4500,Rs/Quintal
Beldanga,75,Tonnes,NR,TD-5,3700,3800,3750,Rs/Quintal
Bethuadahari,17,Tonnes,NR,TD-5,3950,4150,4000,Rs/Quintal
Champadanga,0.5,Tonnes,NR,Other,3650,3850,3750,Rs/Quintal
Gajol,27.7,Tonnes,NR,TD-5,4200,4300,4250,Rs/Quintal
Ghatal,5,Tonnes,NR,TD-5,3450,3550,3520,Rs/Quintal
Islampur,14,Tonnes,NR,TD-5,4400,4600,4500,Rs/Quintal
Jangipur,68.5,Tonnes,NR,TD-5,3525,3640,3575,Rs/Quintal
Kaliaganj,30,Tonnes,NR,TD-5,4400,4600,4500,Rs/Quintal
Kalna,8,Tonnes,NR,TD-5,3900,4000,4000,Rs/Quintal
Karimpur,50,Tonnes,NR,Other,3200,3600,3500,Rs/Quintal
Katwa,21,Tonnes,NR,TD-5,3900,4100,4000,Rs/Quintal
Moynaguri,1.5,Tonnes,NR,TD-5,4400,4600,4500,Rs/Quintal
Nadia,2.3,Tonnes,NR,TD-5,4100,4250,4200,Rs/Quintal
Raiganj,15,Tonnes,NR,TD-5,4300,4500,4400,Rs/Quintal
Samsi,7.5,Tonnes,NR,TD-5,3750,3850,3800,Rs/Quintal
Toofanganj,4.5,Tonnes,NR,TD-5,4400,4600,4500,Rs/Quintal
Lint,,,,,,,,
Forest Products,,,,,,,,
Firewood,,,,,,,,
Punjab,,,,,,,,
Garhshankar(Saila Khurd),6.2,Tonnes,NR,Other,250,300,300,Rs/Quintal
Uttar Pradesh,,,,,,,,
Hargaon (Laharpur),26,Tonnes,NR,Other,170,190,180,Rs/Quintal
Katra,28,Tonnes,NR,Firewood,390,410,400,Rs/Quintal
Tamarind Fruit,,,,,,,,
Karnataka,,,,,,,,
Bangalore,5,Tonnes,NR,Tamarind Fruit,8500,12000,10250,Rs/Quintal
Mysore (Bandipalya),1,Tonnes,NR,Tamarind Fruit,5000,15800,9334,Rs/Quintal
Shimoga,NR,Tonnes,NR,Tamarind Fruit,8500,14500,11500,Rs/Quintal
Maharashtra,,,,,,,,
Mumbai,27,Tonnes,NR,Other,10000,16000,15000,Rs/Quintal
Tamil Nadu,,,,,,,,
Papparapatti,NR,Tonnes,NR,Chapathi,4000,6800,5600,Rs/Quintal
Wood,,,,,,,,
Haryana,,,,,,,,
Bilaspur,633.3,Tonnes,NR,Other,180,280,260,Rs/Quintal
Telangana,,,,,,,,
Charla,50,Tonnes,NR,Other,480,500,490,Rs/Quintal
Kothagudem,120,Tonnes,NR,Eucalyptus,3900,4000,3950,Rs/Quintal
Uttar Pradesh,,,,,,,,
Bahedi,88,Tonnes,NR,Other,180,280,240,Rs/Quintal
Gangoh,2.4,Tonnes,NR,Beete (Rose),420,445,435,Rs/Quintal
Maholi,745,Tonnes,NR,Other,220,250,230,Rs/Quintal
Misrikh,63,Tonnes,NR,Other,180,300,280,Rs/Quintal
Nakud,2.5,Tonnes,NR,Other,250,300,295,Rs/Quintal
Nanuta,15,Tonnes,NR,Other,300,500,400,Rs/Quintal
Rura,5,Tonnes,NR,Beete (Rose),350,400,375,Rs/Quintal
Shahpur,9,Tonnes,NR,Other,NR,NR,320,Rs/Quintal
Sindholi,50,Tonnes,NR,Other,200,300,250,Rs/Quintal
Sultanpurchilkana,112,Tonnes,NR,Other,235,305,270,Rs/Quintal
Tanda(Rampur),39.5,Tonnes,NR,Other,280,290,285,Rs/Quintal
Thanabhawan,8,Tonnes,NR,Other,250,300,295,Rs/Quintal
Viswan,40,Tonnes,NR,Other,250,350,300,Rs/Quintal
Uttrakhand,,,,,,,,
Lakshar,5,Tonnes,NR,Other,200,300,250,Rs/Quintal
Rudrapur,302,Tonnes,NR,Other,250,350,270,Rs/Quintal
Flowers,,,,,,,,
Anthorium,,,,,,,,
NCT of Delhi,,,,,,,,
"Flower Market,Gazipur",600,Nos,NR,Anthorium,20,60,42,Rs/Number
BOP,,,,,,,,
NCT of Delhi,,,,,,,,
,200,,NR,Other,10,40,30,Rs/Number
Carnation,,,,,,,,
NCT of Delhi,,,,,,,,
,21200,,NR,Cornation,5,9,7.75,Rs/Number
Chrysanthemum(Loose),,,,,,,,
Karnataka,,,,,,,,
Chickkaballapura,6,Tonnes,NR,Other,3000,6100,6000,Rs/Quintal
Gladiolus Cut Flower,,,,,,,,
NCT of Delhi,,,,,,,,
"Flower Market,Gazipur",92448,Nos,NR,Gladiolus Cut Flower,1.25,2.5,2,Rs/Number
Jarbara,,,,,,,,
NCT of Delhi,,,,,,,,
,79100,,NR,Other,2,5,3.6,Rs/Number
Jasmine,,,,,,,,
Kerala,,,,,,,,
Koduvayoor,0.04,Tonnes,NR,Other,170000,180000,175000,Rs/Quintal
Lilly,,,,,,,,
NCT of Delhi,,,,,,,,
"Flower Market,Gazipur",5530,Nos,NR,Other,30,45,38,Rs/Number
Marigold(Calcutta),,,,,,,,
Karnataka,,,,,,,,
Chickkaballapura,3,Nos,NR,Other,2000,2600,2500,Rs/Number
NCT of Delhi,,,,,,,,
"Flower Market,Gazipur",77400,Nos,NR,Other,10,14,12.5,Rs/Number
Orchid,,,,,,,,
NCT of Delhi,,,,,,,,
,45500,,NR,Other,15,19,17.5,Rs/Number
Patti Calcutta,,,,,,,,
NCT of Delhi,,,,,,,,
,0.14,Tonnes,NR,Other,100,160,140,Rs/Quintal
Rose(Local),,,,,,,,
NCT of Delhi,,,,,,,,
,79920,Nos,NR,Other,2.5,4.16,3.5,Rs/Number
Rose(Loose),,,,,,,,
Karnataka,,,,,,,,
Chickkaballapura,5,Tonnes,NR,Other,4000,5000,4500,Rs/Quintal
Tube Rose(Double),,,,,,,,
NCT of Delhi,,,,,,,,
"Flower Market,Gazipur",6000,Nos,NR,Other,6.25,10,8.12,Rs/Number
Tube Rose(Single),,,,,,,,
NCT of Delhi,,,,,,,,
,720,,NR,Other,2.08,4.16,3.33,Rs/Number
