"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Ernakulam,0.35,Tonnes,NR,Mango - Raw-Ripe,4600,5200,5000,Rs/Quintal
Ettumanoor,1.5,Tonnes,NR,Mango - Raw-Ripe,5000,5200,5200,Rs/Quintal
Kothamangalam,1,Tonnes,NR,Other,7000,8000,7500,Rs/Quintal
Kottakkal,1,Tonnes,NR,Other,4300,4400,4350,Rs/Quintal
Kuruppanthura,1.5,Tonnes,NR,Mango - Raw-Ripe,4200,5000,4600,Rs/Quintal
Moovattupuzha,1,Tonnes,NR,Other,3650,4000,3800,Rs/Quintal
Palakkad,0.5,Tonnes,NR,Mango - Raw-Ripe,4000,5000,4600,Rs/Quintal
Pampady,1,Tonnes,NR,Other,3500,3900,3700,Rs/Quintal
Perumbavoor,10,Tonnes,NR,Mango - Raw-Ripe,2000,3000,2500,Rs/Quintal
Thodupuzha,0.5,Tonnes,NR,Other,3000,3200,3200,Rs/Quintal
Thrippunithura,0.2,Tonnes,NR,Mango - Raw-Ripe,6500,7500,7000,Rs/Quintal
vadakarapathy,1,Tonnes,NR,Other,2900,3100,3000,Rs/Quintal
Vadakkenchery,0.17,Tonnes,NR,Other,5000,6000,5500,Rs/Quintal
NCT of Delhi,,,,,,,,
Azadpur,0.3,Tonnes,NR,Mango - Raw-Ripe,3000,4000,3500,Rs/Quintal
Mashrooms,,,,,,,,
Haryana,,,,,,,,
Samalkha,0.05,Tonnes,NR,Mashrooms,8000,9000,8500,Rs/Quintal
Himachal Pradesh,,,,,,,,
Kangra,0.1,Tonnes,NR,Other,10000,12000,11000,Rs/Quintal
Palampur,0.05,Tonnes,NR,Other,13500,14000,14000,Rs/Quintal
Solan,0.1,Tonnes,NR,Other,10000,12000,11000,Rs/Quintal
Jammu and Kashmir,,,,,,,,
Narwal Jammu (F&V),1.2,Tonnes,NR,Other,9000,10000,9500,Rs/Quintal
Punjab,,,,,,,,
Jalandhar City(Jalandhar),0.5,Tonnes,NR,Mashrooms,3500,4400,4000,Rs/Quintal
Malout,5,Tonnes,NR,Mashrooms,3500,4500,4000,Rs/Quintal
Patti,0.05,Tonnes,NR,Other,1200,1800,1500,Rs/Quintal
Uttrakhand,,,,,,,,
Dehradoon,2.4,Tonnes,NR,Other,3800,4500,4000,Rs/Quintal
Methi(Leaves),,,,,,,,
Chattisgarh,,,,,,,,
Durg,2,Tonnes,NR,Other,2000,2400,2200,Rs/Quintal
Gujarat,,,,,,,,
Ahmedabad(Rajnagar sub yard),28.6,Tonnes,NR,Other,1000,2000,1600,Rs/Quintal
Ankleshwar,0.46,Tonnes,NR,Methi,1925,3050,2975,Rs/Quintal
Bharuch,0.96,Tonnes,NR,Other,1000,1250,1200,Rs/Quintal
Dholka(Koth),22,Tonnes,NR,Other,700,900,800,Rs/Quintal
Mansa(Manas Veg Yard),0.03,Tonnes,NR,Methi,2000,2000,2000,Rs/Quintal
Nadiyad(Piplag),1,Tonnes,NR,Methi,1000,1200,1100,Rs/Quintal
