Commodity-wise- Market-wise Daily-Report-on -01-01-2019,,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Pampady,10,Tonnes,NR,Other,11400,11600,11500,Rs/Quintal
Pulpally,2,Tonnes,NR,Other,11500,13500,12500,Rs/Quintal
Taliparamba,0.5,Tonnes,NR,Other,12000,12200,12100,Rs/Quintal
Thodupuzha,1,Tonnes,NR,Other,10000,10100,10100,Rs/Quintal
,,,NR,RSS-4,12000,12100,12100,Rs/Quintal
Vadakkenchery,0.48,Tonnes,NR,Other,11000,11500,11250,Rs/Quintal
,,,NR,RSS-4,12400,13400,12900,Rs/Quintal
Tamil Nadu,,,,,,,,
Kulasekaram,1,Tonnes,NR,Other,7800,12000,10500,Rs/Quintal
Sugar,,,,,,,,
Jharkhand,,,,,,,,
Gumla,9,Tonnes,NR,Other,4000,4400,4200,Rs/Quintal
Khunti,NR,Tonnes,NR,Fine,3600,3800,3700,Rs/Quintal
,,,NR,Other,3850,4250,4050,Rs/Quintal
Lohardaga,NR,Tonnes,NR,Chini,3800,4000,3900,Rs/Quintal
Pakur,0.03,Tonnes,NR,Chini,3400,3600,3500,Rs/Quintal
Maharashtra,,,,,,,,
Mumbai,395,Tonnes,NR,Other,3026,3220,3072,Rs/Quintal
Odisha,,,,,,,,
Bonai,0.4,Tonnes,NR,Other,4000,4000,4000,Rs/Quintal
Rajasthan,,,,,,,,
Jaipur (Grain),417,Tonnes,NR,Other,3600,3700,3650,Rs/Quintal
Jaipur(Grain)(Chandpole),3,Tonnes,NR,Other,3600,3700,3650,Rs/Quintal
Uttar Pradesh,,,,,,,,
Aligarh,90,Tonnes,NR,Chini,3280,3320,3300,Rs/Quintal
Hapur,25,Tonnes,NR,Fine,3200,3350,3250,Rs/Quintal
Lakhimpur,14,Tonnes,NR,Chini,3380,3420,3400,Rs/Quintal
Paliakala,1,Tonnes,NR,Chini,3350,3400,3380,Rs/Quintal
West Bengal,,,,,,,,
Birbhum,14.5,Tonnes,NR,Medium,3500,3550,3530,Rs/Quintal
Wheat Atta,,,,,,,,
Assam,,,,,,,,
Goalpara,43.5,Tonnes,NR,Wheat Atta,2150,2350,2200,Rs/Quintal
Nalbari,3.5,Tonnes,NR,Wheat Atta,2650,2850,2750,Rs/Quintal
P.O. Uparhali Guwahati,24,Tonnes,NR,Wheat Atta,2500,2730,2615,Rs/Quintal
Jharkhand,,,,,,,,
Lohardaga,NR,Tonnes,NR,Wheat Atta,2500,2800,2600,Rs/Quintal
Odisha,,,,,,,,
Bonai,0.5,Tonnes,NR,Wheat Atta,3000,3500,3500,Rs/Quintal
Yam,,,,,,,,
Kerala,,,,,,,,
Omalloor,0.05,Tonnes,NR,Yam,3400,3500,3500,Rs/Quintal
Oils and Fats,,,,,,,,
Coconut Oil,,,,,,,,
Kerala,,,,,,,,
Kanjangadu,1,Tonnes,NR,Other,18000,18400,18200,Rs/Quintal
