"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Gajol,31.6,Tonnes,NR,Balli/Habbu,4450,4550,4500,Rs/Quintal
Groundnut (Split),,,,,,,,
Gujarat,,,,,,,,
Junagadh,2.9,Tonnes,NR,Groundnut(Split),3750,4520,4250,Rs/Quintal
Linseed,,,,,,,,
Madhya Pradesh,,,,,,,,
Daloda,5.3,Tonnes,NR,Other,4000,4150,4050,Rs/Quintal
Dindori,7.7,Tonnes,NR,Linseed,3700,3700,3700,Rs/Quintal
Katni,0.5,Tonnes,NR,Other,3850,3850,3850,Rs/Quintal
Manasa,18,Tonnes,NR,Other,3810,4001,3905,Rs/Quintal
Mandsaur,40,Tonnes,NR,Other,3840,4190,4010,Rs/Quintal
Neemuch,2.5,Tonnes,NR,Linseed,4000,4100,4050,Rs/Quintal
Piplya,1.4,Tonnes,NR,Other,4000,4140,4100,Rs/Quintal
Rewa,0.5,Tonnes,NR,Other,3861,3861,3861,Rs/Quintal
Sagar,0.2,Tonnes,NR,Other,3600,4000,3900,Rs/Quintal
Maharashtra,,,,,,,,
Amarawati,NR,Tonnes,NR,Other,4500,4600,4550,Rs/Quintal
Rajasthan,,,,,,,,
Pratapgarh,2.9,Tonnes,NR,Other,3750,4111,3930,Rs/Quintal
Uttar Pradesh,,,,,,,,
Baberu,2.2,Tonnes,NR,Linseed,4080,4260,4175,Rs/Quintal
Bharuasumerpur,1.5,Tonnes,NR,Linseed,4000,4200,4100,Rs/Quintal
Kanpur(Grain),45,Tonnes,NR,Linseed,4200,4400,4315,Rs/Quintal
Karvi,3,Tonnes,NR,Linseed,4165,4250,4200,Rs/Quintal
Madhoganj,0.5,Tonnes,NR,Linseed,10100,10300,10200,Rs/Quintal
Maudaha,0.8,Tonnes,NR,Linseed,4025,4250,4125,Rs/Quintal
Varanasi(Grain),11,Tonnes,NR,Linseed,4050,4080,4070,Rs/Quintal
Mustard,,,,,,,,
Chattisgarh,,,,,,,,
Bhatapara,0.1,Tonnes,NR,Other,3500,3500,3500,Rs/Quintal
Gujarat,,,,,,,,
Deesa,7.4,Tonnes,NR,Other,3500,3530,3525,Rs/Quintal
Dhanera,15,Tonnes,NR,Other,3405,3600,3502,Rs/Quintal
Jasdan,0.1,Tonnes,NR,Mustard,4130,4130,4130,Rs/Quintal
Mehsana,5.6,Tonnes,NR,Mustard,3540,3650,3610,Rs/Quintal
Patan,23.8,Tonnes,NR,Other,3450,3670,3560,Rs/Quintal
Rajula,0.1,Tonnes,NR,Mustard,6100,6100,6100,Rs/Quintal
Tharad,26.3,Tonnes,NR,Other,3575,3660,3615,Rs/Quintal
Tharad(Rah),2.5,Tonnes,NR,Other,3600,3760,3680,Rs/Quintal
Unjha,11.9,Tonnes,NR,Mustard,3565,3850,3625,Rs/Quintal
Visnagar,8.4,Tonnes,NR,Other,3525,3670,3597,Rs/Quintal
Jharkhand,,,,,,,,
Khunti,NR,Tonnes,NR,Other,4400,4800,4600,Rs/Quintal
Karnataka,,,,,,,,
Bangalore,14,Tonnes,NR,Other,5200,5800,5500,Rs/Quintal
Madhya Pradesh,,,,,,,,
Ashta,0.3,Tonnes,NR,Other,3352,3352,3352,Rs/Quintal
Baikunthpur,1.24,Tonnes,NR,Mustard,3491,3498,3498,Rs/Quintal
Daloda,0.9,Tonnes,NR,Mustard,3400,3500,3450,Rs/Quintal
Gorakhpur,26.13,Tonnes,NR,Mustard,2950,3000,2975,Rs/Quintal
Guna,1,Tonnes,NR,Other,3385,3385,3385,Rs/Quintal
Indore,0.1,Tonnes,NR,Big 100 Kg,3825,3825,3825,Rs/Quintal
Jaora,2.6,Tonnes,NR,Other,3351,3481,3400,Rs/Quintal
Kailaras,3.5,Tonnes,NR,Sarson(Black),3750,3790,3784,Rs/Quintal
Kalapipal,0.01,Tonnes,NR,Other,4000,4000,4000,Rs/Quintal
Katni,0.4,Tonnes,NR,Other,3440,3440,3440,Rs/Quintal
Lahar,0.2,Tonnes,NR,Other,3714,3714,3714,Rs/Quintal
LavKush Nagar(Laundi),8.4,Tonnes,NR,Mustard,3630,3670,3650,Rs/Quintal
Manasa,11,Tonnes,NR,Other,3200,3540,3370,Rs/Quintal
Mandsaur,20,Tonnes,NR,Other,3380,3661,3520,Rs/Quintal
Morena,2.6,Tonnes,NR,Sarson(Black),3695,3735,3735,Rs/Quintal
Mow,0.5,Tonnes,NR,Other,3800,3800,3800,Rs/Quintal
Naugaon,1.96,Tonnes,NR,Other,3400,3600,3500,Rs/Quintal
Neemuch,21,Tonnes,NR,Yellow (Black),3591,3701,3600,Rs/Quintal
Piplya,1.1,Tonnes,NR,Sarson(Black),3601,3601,3601,Rs/Quintal
Pohari,0.3,Tonnes,NR,Sarson(Black),3515,3515,3515,Rs/Quintal
Ratlam,0.1,Tonnes,NR,Other,3650,3650,3650,Rs/Quintal
Rewa,0.3,Tonnes,NR,Other,3480,3515,3497,Rs/Quintal
Sagar,2.1,Tonnes,NR,Other,3500,3600,3550,Rs/Quintal
Taal,0.63,Tonnes,NR,Mustard,3485,3485,3485,Rs/Quintal
Vidisha,0.1,Tonnes,NR,Mustard,2800,3750,3620,Rs/Quintal
NCT of Delhi,,,,,,,,
Najafgarh,1.5,Tonnes,NR,Big 100 Kg,3700,3886,3793,Rs/Quintal
Rajasthan,,,,,,,,
Alwar,20.4,Tonnes,NR,Other,3650,4000,3850,Rs/Quintal
Atru,13.5,Tonnes,NR,Other,3565,3670,3617,Rs/Quintal
Atru(Kawai Salpura),12.6,Tonnes,NR,Other,3711,3790,3751,Rs/Quintal
Badrisadri,0.5,Tonnes,NR,Other,3501,3555,3527,Rs/Quintal
Baran,68,Tonnes,NR,Other,3520,3676,3601,Rs/Quintal
Bayana,22.2,Tonnes,NR,Mustard,3450,3450,3450,Rs/Quintal
Beawar,1.2,Tonnes,NR,Other,3600,3700,3650,Rs/Quintal
Bharatpur,84.8,Tonnes,NR,Other,3420,3921,3671,Rs/Quintal
Bhawani Mandi,2.5,Tonnes,NR,Other,3500,3591,3545,Rs/Quintal
Chaksu,12.4,Tonnes,NR,Other,3200,3925,3600,Rs/Quintal
Dausa,2.7,Tonnes,NR,Other,3400,3590,3495,Rs/Quintal
Deeg,7,Tonnes,NR,Other,3526,3789,3778,Rs/Quintal
DEI(Bundi),1,Tonnes,NR,Other,3060,3640,3350,Rs/Quintal
Deoli,2.5,Tonnes,NR,Other,3000,3670,3335,Rs/Quintal
Gangapur City,76.3,Tonnes,NR,Other,3553,3877,3715,Rs/Quintal
Gangapurcity(Old Lal mandi),11.6,Tonnes,NR,Other,3420,3515,3468,Rs/Quintal
Hindoun,14.3,Tonnes,NR,Other,3469,3840,3655,Rs/Quintal
Itawa,2.1,Tonnes,NR,Other,3701,3701,3701,Rs/Quintal
Jodhpur (Grain)(Mandor),2.4,Tonnes,NR,Other,3500,3800,3650,Rs/Quintal
Kekri,5.5,Tonnes,NR,Other,3650,4020,3890,Rs/Quintal
Khairthal,47.4,Tonnes,NR,Other,3600,3800,3700,Rs/Quintal
Khajuwala,0.8,Tonnes,NR,Other,3541,3541,3541,Rs/Quintal
Khanpur,35.4,Tonnes,NR,Other,3641,3665,3665,Rs/Quintal
Khedli(laxmangarh),3,Tonnes,NR,Other,3600,3900,3800,Rs/Quintal
Kherli,53.3,Tonnes,NR,Other,3500,3910,3675,Rs/Quintal
Kota,72.5,Tonnes,NR,Other,3484,3661,3550,Rs/Quintal
Kotputli,2,Tonnes,NR,Mustard,3600,3800,3700,Rs/Quintal
Lalsot(Mandabari),11,Tonnes,NR,Other,3668,3775,3721,Rs/Quintal
Mahua Mandabar(Mahua),28.1,Tonnes,NR,Other,3400,3874,3637,Rs/Quintal
Mahuwa Mandawar,12.9,Tonnes,NR,Other,3540,3834,3625,Rs/Quintal
Merta City,0.4,Tonnes,NR,Other,3300,3300,3300,Rs/Quintal
Nadwai,23,Tonnes,NR,Other,3682,3915,3715,Rs/Quintal
Nagar,12.5,Tonnes,NR,Other,3620,3820,3720,Rs/Quintal
Nimbahera,9,Tonnes,NR,Other,3500,3560,3520,Rs/Quintal
Niwai,50.6,Tonnes,NR,Other,3600,3800,3700,Rs/Quintal
Padampur,0.3,Tonnes,NR,Other,3600,3600,3600,Rs/Quintal
Pilli Banga,1,Tonnes,NR,Mustard,3615,3615,3615,Rs/Quintal
Pratapgarh,0.2,Tonnes,NR,Other,3400,3450,3425,Rs/Quintal
Raisingh Nagar,3,Tonnes,NR,Other,3400,3581,3532,Rs/Quintal
Ramaganj Mandi,3.3,Tonnes,NR,Other,3421,3516,3470,Rs/Quintal
Rawla,0.1,Tonnes,NR,Other,3521,3521,3521,Rs/Quintal
Sawai Madhopur,9.7,Tonnes,NR,Other,3550,3660,3660,Rs/Quintal
Sri Vijayanagar,0.3,Tonnes,NR,Other,3550,3550,3550,Rs/Quintal
Sriganganagar,3.5,Tonnes,NR,Other,3511,3611,3611,Rs/Quintal
